Id,Title,Price,image_link,Link,Description,availability
1,Valentines Day Box Care Package Flap Stickers- All of Me Loves all of You,9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.3453384495_2fyb.jpg?v=1641939351,https://stickersforcarepackage.com/products/valentines-day-care-package-stickers-all-of-me,"Our I Love You care package sticker kits are a quick any easy way to decorate any college, deployment or long distance relationship gift box. Our stickers are applied to the inside of shipping box flaps to create a vibrant and memorable delivery. ",In stock
2,Basketball Care Package Stickers for Gift Box Flaps,9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.2296818552_pues.jpg?v=1636942548,https://stickersforcarepackage.com/products/basketball-care-package-stickers,Our care package sticker kits are a quick any easy way to decorate any college or team gift box. Our stickers are applied to the inside of shipping box flaps to create a vibrant and memorable delivery.,In stock
3,Football Care Package Stickers for Gift Box Flaps,9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.2133305159_bs71.jpg?v=1636942254,https://stickersforcarepackage.com/products/football-care-package-stickers,Our care package sticker kits are a quick any easy way to decorate any college or team gift box. Our stickers are applied to the inside of shipping box flaps to create a vibrant and memorable delivery. ,In stock
4,Christmas Care Package Stickers Snowman Gift Box Flaps,9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.3430948470_qnez.jpg?v=1636942316,https://stickersforcarepackage.com/products/christmas-care-package-stickers-snowman,Our Christmas care package sticker kits are a quick any easy way to decorate any deployment care package or create a DIY gift box for out of town family and loved ones. Our stickers are applied to the inside of shipping box flaps to create a vibrant and memorable delivery.,In stock
5,Christmas Care Package Stickers for Military Deployment,9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.3403095224_gm4f.jpg?v=1636942342,https://stickersforcarepackage.com/products/christmas-care-package-stickers-stink-stank-stunk,Our Christmas care package sticker kits are a quick any easy way to customize any deployment care package or create a DIY gift box for out of town family and loved ones. ,In stock
6,Thanksgiving Gift Box Care Package Stickers for Shipping Box Flaps,9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.3405168326_sucm.jpg?v=1636313754,https://stickersforcarepackage.com/products/thanksgiving-care-package-stickers-thankful-for-you,"Our Thanksgiving care package sticker kits are a quick any easy way to customize any college, deployment or long distance care package. Our stickers are applied to the inside of shipping box flaps to create a vibrant and memorable delivery.",In stock
7,Thanksgiving Care Package Stickers for Gift Box Flaps,9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.3439571127_48sz.jpg?v=1636313446,https://stickersforcarepackage.com/products/copy-of-thanksgiving-care-package-stickers-turkey,"Our Thanksgiving care package sticker kits are a quick any easy way to customize any college, deployment or long distance care package. Our stickers are applied to the inside of shipping box flaps to create a vibrant and memorable delivery.",In stock
8,Christmas Care Package Stickers All I Want is You Gift Box for Boyfriend,9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.3408015054_manf.jpg?v=1636321627,https://stickersforcarepackage.com/products/christmas-care-package-stickers-all-i-want,Our Christmas care package sticker kits are a quick any easy way to customize any deployment care package or create a DIY gift box for out of town family and loved ones. Our stickers are applied to the inside of shipping box flaps to create a vibrant and memorable delivery.,In stock
9,Christmas Care Package Stickers for Deployed Boyfriend,9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.3461071413_7bok.jpg?v=1636321952,https://stickersforcarepackage.com/products/christmas-care-package-stickers-tree,Our Christmas care package sticker kits are a quick any easy way to customize any deployment care package or create a DIY gift box for out of town family and loved ones. Our stickers are applied to the inside of shipping box flaps to create a vibrant and memorable delivery.,In stock
10,Open When Letter Labels College Student Gift,8.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.3244000632_jcqt.jpg?v=1628355849,https://stickersforcarepackage.com/products/copy-of-open-when-letter-labels-student,"Open when letter sticker labels for college students. These stickers are used on envelopes to send notes to home sick son, daughter, friend or loved ones. ",In stock
11,Open When Letter Labels for Boyfriend and Girlfriend in Long Distance Relationship,8.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.2594021954_2o72.jpg?v=1628355372,https://stickersforcarepackage.com/products/open-when-letter-labels-long-distance-relationship?_pos=2&_sid=de350d680&_ss=r,"Open when letter sticker labels for envelopes. Notes for home sick deployed soldiers, boyfriend, girlfriend and loved ones.",In stock
12,Father's Day Care Package Stickers Best Dad Gift Box Flaps,9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.2277881618_sdit.jpg?v=1636325417,https://stickersforcarepackage.com/products/fathers-day-care-package-stickers-best-dad?_pos=2&_sid=196614cfc&_ss=r,Our Father's Day care package sticker kits are a quick any easy way to customize any deployment or long distance care package for dad. Our stickers are applied to the inside of shipping box flaps to create a vibrant and memorable delivery.,In stock
13,Father's Day Care Package Stickers for Gift Box Flaps,9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.2188278347_59ve.jpg?v=1636325891,https://stickersforcarepackage.com/products/fathers-day-care-package-stickers-rad-dad?_pos=1&_sid=196614cfc&_ss=r,Our Father's Day care package sticker kits are a quick any easy way to customize a long distance gift for dad. Our stickers are applied to the inside of shipping box flaps to create a vibrant and memorable delivery.,In stock
14,Patriotic Care Package Stickers for 4th of July and Military Deployment,9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.2189157715_jya5.jpg?v=1636472625,https://stickersforcarepackage.com/products/patriotic-care-package-stickers-american-flag?_pos=1&_sid=681c46869&_ss=r,"Our American flag care package sticker kits are a quick any easy way to customize any college, deployment or long distance relationship care package for the 4th of July.",In stock
15,Birthday Care Package Stickers for Him,9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.2215174716_b0fy.jpg?v=1635465061,https://stickersforcarepackage.com/products/birthday-care-package-stickers-comic?_pos=1&_sid=abc978308&_ss=r,Our birthday care package sticker kits are a quick any easy way to customize any college care package or create a long-distance relationship gift. Our stickers are applied to the inside of shipping box flaps to create a vibrant and memorable delivery.,In stock
16,I Miss You Care Package Stickers for College or Deployment Gift Box,9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.2072633938_eceo.jpg?v=1636404383,https://stickersforcarepackage.com/products/long-distance-care-package-stickers-10-things-i-miss?_pos=1&_sid=20c8fb994&_ss=r&variant=41430199795861,"Our I miss you care package sticker kits are a quick any easy way to customize any college, deployment or long distance gift box. Our stickers are applied to the inside of shipping box flaps to create a vibrant and memorable delivery. ",In stock
17,Easter Box Care Package Flap Sticker,9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.2759570253_a262.jpg?v=1636314286,https://stickersforcarepackage.com/products/easter-care-package-stickers-hoppy-easter?_pos=1&_sid=6a31beffd&_ss=r,Our easter care package sticker kits are a quick any easy way to customize any college care package and make great DIY easter gift boxes and create a long-distance gifts. ,In stock
18,Easter Care Package Stickers for Long Distance Boyfriend,9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.2958018629_8vz5.jpg?v=1636314082,https://stickersforcarepackage.com/products/easter-care-package-stickers-i-love-you?_pos=1&_sid=3056a8528&_ss=r,"Our Easter care package sticker kits are a quick any easy way to customize any college, deployment or long distance care package. Our stickers are applied to the inside of shipping box flaps to create a vibrant and memorable delivery.",In stock
